zip,city,median_sale_price,median_ppsf,homes_sold,periods
90001,,576833,560.9,60,4
90002,,603213,554.5,127,4
90003,,593226,518.7,93,4
90004,,2151204,986.2,98,4
90005,,2047800,688.5,25,4
90006,,900357,455.9,14,4
90007,,914105,456.0,19,4
90008,,1274487,630.4,119,4
90011,,553123,508.1,65,4
90012,,781366,649.0,17,4
90015,,765000,621.4,3,1
90016,,1041215,756.3,130,4
90018,,924818,619.7,99,4
90019,,1363721,795.7,129,4
90020,,5396812,919.2,16,4
90022,,685678,615.6,59,4
90023,,607952,532.1,42,4
90024,,3609836,1225.9,61,4
90025,,2067383,1077.8,60,4
90026,,1488035,957.8,173,4
90027,,2275862,974.8,145,4
90028,,1154462,639.1,13,4
90029,,1047974,689.2,38,4
90031,,1003704,741.1,81,4
90032,,860805,694.6,174,4
90033,,691778,532.4,27,4
90034,,1625267,1014.5,131,4
90035,,2276423,1035.8,71,4
90036,,2218995,913.4,95,4
90037,,685859,489.0,64,4
90038,,1146656,638.5,32,4
90039,,1513431,1051.2,188,4
90040,,731059,565.3,17,4
90041,,1378392,866.5,143,4
90042,,1218744,910.3,215,4
90043,,870378,615.1,230,4
90044,,653358,521.6,151,4
90045,,1706886,952.3,237,4
90046,,2237252,963.5,238,4
90047,,725964,523.4,249,4
90048,,2396316,1090.2,95,4
90049,,4033363,1323.4,273,4
90056,,1729712,667.2,52,4
90057,,982312,544.6,8,4
90058,,469250,586.3,4,3
90059,,613750,532.0,100,4
90061,,633019,580.0,52,4
90062,,765127,551.5,79,4
90063,,677950,615.1,100,4
90064,,2158153,1081.8,176,4
90065,,1241510,806.8,232,4
90066,,2137363,1163.8,315,4
90067,,6596500,1126.6,3,2
90068,,1959069,870.9,248,4
90069,,3155906,1199.9,127,4
90076,,1351000,730.3,1,1
90077,,3206440,983.6,125,4
90093,,1370000,557.8,1,1
90094,,2982000,1048.6,15,4
90099,,514500,427.2,3,2
90101,,670000,485.4,2,2
90201,,724654,592.1,26,4
90210,,5961425,1275.4,247,4
90211,,2662309,1268.1,34,4
90212,,4181360,1323.1,25,4
90220,,650788,533.0,156,4
90221,,631367,535.0,128,4
90222,,613423,550.5,111,4
90230,,1465769,949.1,108,4
90232,,2262500,1149.7,62,4
90240,,1001274,546.6,82,4
90241,,980182,611.5,110,4
90242,,848078,631.3,90,4
90245,,2051519,1020.7,52,4
90247,,810862,590.1,87,4
90248,,794891,589.8,45,4
90249,,810707,611.4,92,4
90250,,898313,683.1,166,4
90254,,2646798,1420.5,89,4
90255,,702212,527.4,52,4
90260,,804298,628.3,57,4
90262,,694297,559.3,91,4
90265,,4519475,1295.7,141,4
90266,,3598793,1449.4,261,4
90270,,655769,555.8,13,4
90272,,3915127,1228.5,114,4
90274,,2669433,975.8,246,4
90275,,1885414,789.1,302,4
90277,,2234770,1109.8,139,4
90278,,1535234,962.2,137,4
90280,,703451,570.7,113,4
90290,,1590583,804.5,60,4
90291,,2314785,1320.3,181,4
90292,,3197294,1103.5,34,4
90293,,1986467,857.7,45,4
90301,,843710,592.1,31,4
90302,,880677,753.1,31,4
90303,,823660,527.5,50,4
90304,,860682,676.0,22,4
90305,,868587,518.8,63,4
90402,,5212036,1873.3,118,4
90403,,3575625,1664.1,32,4
90404,,1831000,1243.8,17,4
90405,,2629803,1355.2,76,4
90501,,1086875,695.3,112,4
90502,,857386,619.8,44,4
90503,,1416982,887.3,164,4
90504,,1004260,698.5,154,4
90505,,1538182,846.1,198,4
90601,,925323,541.4,110,4
90602,,900743,626.3,70,4
90603,,919045,571.0,88,4
90604,,846381,583.0,181,4
90605,,800949,622.4,158,4
90606,,790000,593.9,108,4
90607,,800000,549.5,1,1
90620,,933266,645.7,207,4
90621,,979887,624.1,71,4
90623,,1220414,595.6,70,4
90630,,1155884,645.7,198,4
90631,,979077,577.2,287,4
90638,,905329,600.2,243,4
90640,,840921,570.2,139,4
90650,,759563,636.8,309,4
90660,,741527,572.2,169,4
90670,,801518,605.4,56,4
90680,,863750,609.7,48,4
90701,,848750,645.7,46,4
90703,,1241189,653.2,190,4
